Title,Max Players,Multiplatform?,Online?,Genres,Licensed?,Comp_Time_Main,Review Score,Year,Publishers
Yoshi's Island DS,1,True,True,Action,True,9.17,81,2006,Nintendo
Tom Clancy's Ghost Recon: Advanced Warfighter,4,True,True,Action,True,8.75,90,2006,Ubisoft
Fight Night Round 3,2,True,True,Action,True,11.0,86,2006,EA
Pokmon Ranger,1,True,True,Role-Playing (RPG),True,12.57,69,2006,Nintendo
Rayman Raving Rabbids,4,True,True,Action,True,6.0,76,2006,Ubisoft
Saints Row,1,True,True,Action,True,17.0,81,2006,THQ
Tom Clancy's Rainbow Six: Vegas,2,True,True,Action,True,9.0,88,2006,Ubisoft
Dead Rising,1,True,True,Action,True,10.53,85,2006,Capcom
Call of Duty 3,1,True,True,Action,True,8.0,69,2006,Activision
Lost Planet: Extreme Condition,1,True,True,Action,True,8.48,79,2006,Capcom
Mario Hoops 3 on 3,1,True,True,Sports,True,3.5,69,2006,Nintendo
LEGO Star Wars II: The Original Trilogy,1,True,True,Action,True,12.0,47,2006,EA
Super Monkey Ball: Banana Blitz,4,True,True,Action,True,5.4,74,2006,Sega
The Sims 2: Pets,1,True,True,Simulation,True,-100.0,49,2006,EA
Need for Speed: Carbon - Own the City,1,True,True,Racing / Driving,True,15.72,73,2006,EA
WarioWare: Smooth Moves,6,True,True,Action,True,2.5,83,2006,Nintendo
Fight Night Round 3,2,True,True,Action,True,11.0,83,2006,EA
Final Fantasy III,1,True,True,Role-Playing (RPG),True,25.9,77,2006,SquareEnix
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,1,True,True,Action,True,-100.0,81,2006,Sony
Madden NFL 07,1,True,True,Sports,True,-100.0,78,2006,EA
Monster 4x4: World Circuit,4,True,True,Racing / Driving,True,-100.0,51,2006,Ubisoft
Kirby: Squeak Squad,1,True,True,Action,True,4.0,71,2006,Nintendo
Pokmon Battle Revolution,4,True,True,Action,True,13.0,53,2006,Nintendo
Medal of Honor: Heroes,1,True,True,Action,True,5.0,71,2006,EA
Tekken: Dark Resurrection,1,True,True,Action,True,2.37,88,2006,"Namco,Sony"
Need for Speed: Carbon,2,True,True,Racing / Driving,True,13.0,77,2006,EA
Mario vs. Donkey Kong 2: March of the Minis,1,True,True,Action,True,4.32,76,2006,Nintendo
Sonic Rivals,1,True,True,Action,True,6.0,64,2006,Sega
NCAA Football 07,2,True,True,Sports,True,-100.0,79,2006,EA
Mortal Kombat: Unchained,2,True,True,Action,True,1.75,70,2006,Midway
Tom Clancy's Splinter Cell: Double Agent,1,True,True,Action,True,11.0,85,2006,Ubisoft
Tetris DS,1,True,True,Strategy,True,17.0,84,2006,Nintendo
