Length,Title,Max Players,Multiplatform,Online,Genres,Licensed,Comp_Time_Main,Review Score,Year,Publishers
Short,Metal Slug Anthology,4,True,True,Action,True,6.0,73,2006,Unknown
Short,Open Season,4,True,True,Action,True,3.5,59,2006,Ubisoft
Short,Tom Clancy's Splinter Cell: Double Agent,2,True,True,Action,True,11.0,61,2006,Ubisoft
Short,Avatar: The Last Airbender,1,True,True,Action,True,6.0,57,2006,THQ
Average,Lemmings,1,True,True,Strategy,True,21.62,76,2006,Sony
Short,Mega Man Powered Up,1,True,True,Action,True,3.0,82,2006,Capcom
Short,Dynasty Warriors 5: Empires,2,True,True,Action,True,14.0,61,2006,Unknown
Average,Magical Starsign,1,True,True,Role-Playing (RPG),True,25.83,69,2006,Nintendo
Short,Resident Evil: Deadly Silence,1,True,True,Action,True,6.0,71,2006,Capcom
Short,X-Men: The Official Game,1,True,True,Action,True,12.5,50,2006,Activision
Average,Armored Core 4,2,True,True,Action,True,23.0,65,2006,Sega
Short,Eragon,2,True,True,Action,True,6.0,48,2006,Unknown
Short,LostMagic,1,True,True,Action,True,13.0,68,2006,Ubisoft
Short,Magnetica,1,True,True,Action,True,9.93,68,2006,Nintendo
Short,Def Jam Fight for NY: The Takeover,1,True,True,Action,True,5.15,79,2006,EA
Short,The Ant Bully,1,True,True,Action,True,3.5700000000000003,45,2006,Midway
Short,Just Cause,1,True,True,Action,True,8.12,73,2006,Eidos
Short,Onechanbara: Bikini Samurai Squad,1,True,True,Action,True,5.0,39,2006,Unknown
Average,Phantasy Star Universe,1,True,True,Role-Playing (RPG),True,26.82,64,2006,Sega
Short,Project Sylpheed: Arc of Deception,1,True,True,Action,True,4.0,64,2006,"Microsoft,SquareEnix"
Short,Winning Eleven: Pro Evolution Soccer 2007,6,True,True,Sports,True,10.0,80,2006,Konami
Average,Digimon World DS,1,True,True,Role-Playing (RPG),True,25.0,49,2006,Namco
Short,Justice League Heroes,1,True,True,Action,True,5.0,43,2006,Unknown
Short,Open Season,4,True,True,Action,True,3.5,49,2006,Ubisoft
Average,Samurai Warriors 2,4,True,True,Action,True,30.0,52,2006,Unknown
Average,Import Tuner Challenge,2,True,True,Racing / Driving,True,25.0,54,2006,Ubisoft
Short,Contact,1,True,True,Adventure,True,11.73,73,2006,Unknown
Short,Touch Detective,1,True,True,Adventure,True,6.0,60,2006,Unknown
Short,FIFA Street 2,1,True,True,Sports,True,19.5,58,2006,EA
Short,007: From Russia with Love,1,True,True,Action,True,6.27,61,2006,EA
Short,PaRappa the Rapper,1,True,True,Action,True,1.12,67,2006,Sony
Average,Riviera: The Promised Land,1,True,True,Role-Playing (RPG),True,24.53,68,2006,Unknown
Short,Samurai Warriors: State of War,1,True,True,Action,True,10.5,64,2006,Unknown
Short,Viewtiful Joe: Red Hot Rumble,1,True,True,Action,True,4.8,63,2006,Capcom
Short,Ice Age 2: The Meltdown,1,True,True,Action,True,5.0,66,2006,Unknown
Short,Bionicle Heroes,1,True,True,Action,True,9.75,72,2006,Eidos
Short,Deep Labyrinth,1,True,True,Role-Playing (RPG),True,13.57,57,2006,Unknown
Average,Blade Dancer: Lineage of Light,1,True,True,Role-Playing (RPG),True,29.75,60,2006,Unknown
Short,Every Extend Extra,1,True,True,Action,True,12.0,74,2006,Unknown
Short,Ultimate Ghosts 'N' Goblins,1,True,True,Action,True,3.5,72,2006,Capcom
Short,Xiaolin Showdown,1,True,True,Action,True,6.0,44,2006,Konami
Short,Bionicle Heroes,1,True,True,Action,True,9.75,59,2006,Eidos
Short,Bullet Witch,1,True,True,Action,True,6.28,55,2006,Atari
Short,Death Jr. II: Root of Evil,2,True,True,Action,True,6.02,68,2006,Konami
Short,Guilty Gear: Dust Strikers,1,True,True,Action,True,0.32,60,2006,Unknown
Short,Lara Croft Tomb Raider: Legend,1,True,True,Action,True,7.42,58,2006,Eidos
Short,Worms: Open Warfare,1,True,True,Action,True,8.25,64,2006,THQ
Short,Snoopy vs. the Red Baron,1,True,True,Action,True,6.0,76,2006,Namco
Short,Ys VI: The Ark of Napishtim,1,True,True,Action,True,13.0,64,2006,Konami
Short,Bomberman Land Touch!,1,True,True,Action,True,15.0,78,2006,Unknown
Short,Point Blank DS,1,True,True,Action,True,0.15,66,2006,"Atari,Namco"
Short,Scurge: Hive,1,True,True,Action,True,9.58,70,2006,Unknown
Long,Tao's Adventure: Curse of the Demon Seal,1,True,True,Role-Playing (RPG),True,45.0,50,2006,Konami
Short,Gitaroo Man Lives!,1,True,True,Simulation,True,1.88,80,2006,Unknown
Short,Gradius Collection,1,True,True,Action,True,10.0,76,2006,Konami
Average,The Legend of Heroes II: Prophecy of the Moonli...,1,True,True,Role-Playing (RPG),True,20.62,63,2006,Namco
Short,Pac-Man World Rally,1,True,True,Action,True,2.75,51,2006,Namco
Short,Earth Defense Force 2017,2,True,True,Action,True,10.0,69,2006,Unknown
Short,WarTech: Senko no Ronde,2,True,True,Action,True,1.0,60,2006,Ubisoft
Short,MechAssault: Phantom War,1,True,True,Action,True,7.0,66,2006,Unknown
Short,Astonishia Story,1,True,True,Role-Playing (RPG),True,19.15,48,2006,Ubisoft
Short,MotoGP,1,True,True,Racing / Driving,True,7.5,69,2006,Sony
Short,OutRun 2006: Coast 2 Coast,1,True,True,Racing / Driving,True,4.0,82,2006,Sega
Short,Tenchu: Dark Secret,1,True,True,Action,True,7.1,37,2006,Nintendo
Short,Metal Gear Solid: Digital Graphic Novel,1,True,True,Adventure,True,3.03,78,2006,Konami
Short,Platypus,2,True,True,Action,True,1.25,59,2006,Unknown
Short,Custom Robo Arena,1,True,True,Action,True,19.12,74,2006,Nintendo
Short,Gurumin: A Monstrous Adventure,1,True,True,Action,True,9.4,78,2006,Unknown
Short,Spider-Man 3,1,True,True,Action,True,9.67,58,2006,Ubisoft
Short,Wii Fit,1,True,True,Educational,True,3.93,80,2007,Nintendo
Short,Halo 3,4,True,True,Action,True,9.0,94,2007,Microsoft
Short,Call of Duty 4: Modern Warfare,4,True,True,Action,True,7.0,94,2007,Activision
Short,Super Mario Galaxy,2,True,True,Action,True,15.0,97,2007,Nintendo
Short,Mario Party DS,1,True,True,Action,True,6.87,72,2007,Nintendo
Short,Mario Party 8,4,True,True,Action,True,4.0,62,2007,Nintendo
Short,Guitar Hero III: Legends of Rock,2,True,True,Action,True,8.0,85,2007,Activision
Short,Link's Crossbow Training,1,True,True,Action,True,1.12,68,2007,Nintendo
Short,Guitar Hero III: Legends of Rock,2,True,True,Action,True,8.0,86,2007,Activision
Short,Assassin's Creed,1,True,True,Action,True,15.0,81,2007,Ubisoft
Short,LEGO Star Wars: The Complete Saga,2,True,True,Action,True,14.0,80,2007,Unknown
Short,Call of Duty 4: Modern Warfare,4,True,True,Action,True,7.0,94,2007,Activision
Short,Mario & Sonic at the Olympic Games,4,True,True,Action,True,7.0,67,2007,"Nintendo,Sega"
Short,LEGO Star Wars: The Complete Saga,1,True,True,Action,True,14.0,80,2007,Unknown
Long,Forza Motorsport 2,2,True,True,Racing / Driving,True,54.2,90,2007,Microsoft
Short,Madden NFL 08,4,True,True,Sports,True,17.0,85,2007,EA
Short,Guitar Hero II,2,True,True,Action,True,9.0,92,2007,Activision
Short,Rock Band,4,True,True,Action,True,7.75,92,2007,Unknown
Short,The Legend of Zelda: Phantom Hourglass,1,True,True,Action,True,15.57,90,2007,Nintendo
Average,Pokmon Mystery Dungeon: Explorers of Darkness,1,True,True,Role-Playing (RPG),True,20.85,59,2007,Nintendo
Average,Pokmon Mystery Dungeon: Explorers of Time,1,True,True,Role-Playing (RPG),True,20.85,59,2007,Nintendo
Short,Assassin's Creed,1,True,True,Action,True,15.0,81,2007,Ubisoft
Short,Uncharted: Drake's Fortune,1,True,True,Action,True,8.47,88,2007,Sony
Short,Mass Effect,1,True,True,Action,True,16.5,91,2007,Microsoft
Short,Cooking Mama 2: Dinner with Friends,1,True,True,Simulation,True,5.13,70,2007,Unknown
Short,BioShock,1,True,True,Action,True,12.0,96,2007,2K
Short,Super Paper Mario,1,True,True,Action,True,18.0,85,2007,Nintendo
Short,Ratchet & Clank: Size Matters,1,True,True,Action,True,7.0,85,2007,Sony
Short,Dance Dance Revolution Hottest Party,4,True,True,Action,True,8.0,73,2007,Konami
Short,Cooking Mama: Cook Off,2,True,True,Simulation,True,3.4,61,2007,Unknown
Short,Gran Turismo 5: Prologue,2,True,True,Racing / Driving,True,10.72,80,2007,Sony
Short,Professor Layton and the Curious Village,1,True,True,Adventure,True,12.47,85,2007,Nintendo
Short,Resident Evil 4,1,True,True,Action,True,16.0,91,2007,Capcom
Average,The Elder Scrolls IV: Oblivion,1,True,True,Action,True,24.0,93,2007,Ubisoft
Short,Diddy Kong Racing DS,1,True,True,Racing / Driving,True,11.03,63,2007,Nintendo
Short,Need for Speed: ProStreet,2,True,True,Racing / Driving,True,10.0,72,2007,EA
Short,Deal or No Deal,1,True,True,Strategy,True,0.1,20,2007,Unknown
Short,LEGO Star Wars: The Complete Saga,2,True,True,Action,True,14.0,80,2007,Unknown
Short,Sonic and the Secret Rings,4,True,True,Action,True,9.27,69,2007,Sega
Average,The Orange Box,1,True,True,Action,True,28.75,96,2007,Unknown
Short,Crackdown,1,True,True,Action,True,10.0,83,2007,Microsoft
Short,Rock Band,4,True,True,Action,True,7.75,92,2007,Unknown
Short,WWE Smackdown vs. Raw 2008,4,True,True,Sports,True,10.0,71,2007,THQ
Short,Madden NFL 08,4,True,True,Sports,True,17.0,81,2007,EA
Short,Call of Duty 4: Modern Warfare,1,True,True,Action,True,7.0,75,2007,Activision
Short,MySims,1,True,True,Simulation,True,7.18,68,2007,EA
Short,Mario Strikers Charged,4,True,True,Action,True,10.0,79,2007,Nintendo
Short,Star Wars Battlefront: Renegade Squadron,1,True,True,Action,True,2.7199999999999998,73,2007,Unknown
Short,Flash Focus: Vision Training in Minutes a Day,1,True,True,Action,True,6.0,59,2007,Nintendo
Short,Metroid Prime 3: Corruption,1,True,True,Action,True,14.0,90,2007,Nintendo
Short,Tom Clancy's Ghost Recon: Advanced Warfighter 2...,1,True,True,Action,True,8.75,86,2007,Ubisoft
Short,Madden NFL 08,4,True,True,Sports,True,17.0,76,2007,EA
Short,Ratchet & Clank Future: Tools of Destruction,1,True,True,Action,True,13.37,89,2007,Sony
Short,LEGO Star Wars: The Complete Saga,2,True,True,Action,True,14.0,80,2007,Unknown
Short,Rayman Raving Rabbids 2,4,True,True,Action,True,5.0,67,2007,Ubisoft
Short,NBA 2K8 ,1,True,True,Sports,True,4.0,81,2007,2K
Short,Namco Museum DS,1,True,True,Action,True,10.0,67,2007,Namco
Short,Need for Speed: ProStreet,2,True,True,Racing / Driving,True,10.0,73,2007,EA
Short,Drawn to Life,1,True,True,Action,True,14.37,73,2007,THQ
Short,Resident Evil: The Umbrella Chronicles,2,True,True,Action,True,7.25,75,2007,"Capcom,Nintendo"
Short,NCAA Football 08,2,True,True,Sports,True,12.0,81,2007,EA
Short,WWE Smackdown vs. Raw 2008,6,True,True,Sports,True,10.0,74,2007,THQ
Short,Madden NFL 08,1,True,True,Sports,True,17.0,75,2007,EA
Short,The Simpsons Game,1,True,True,Action,True,0.87,69,2007,EA
Short,Ace Combat 6: Fires of Liberation,1,True,True,Action,True,13.25,80,2007,Namco
Short,Heavenly Sword,1,True,True,Action,True,7.0,79,2007,Sony
Short,Ninja Gaiden Sigma,1,True,True,Action,True,14.15,88,2007,Unknown
Short,Ben 10: Protector of the Earth,1,True,True,Action,True,5.13,63,2007,Unknown
Short,The Simpsons Game,2,True,True,Action,True,0.87,71,2007,EA
Short,Sonic Rush Adventure,1,True,True,Action,True,6.0,78,2007,Sega
Short,Tony Hawk's Proving Ground,2,True,True,Sports,True,8.13,72,2007,Activision
Short,Call of Duty: Roads to Victory,1,True,True,Action,True,4.92,64,2007,Activision
Short,Transformers: The Game,1,True,True,Action,True,5.0,52,2007,Activision
Short,NBA 2K8,7,True,True,Sports,True,4.0,81,2007,2K
Short,Medal of Honor: Heroes 2,1,True,True,Action,True,5.0,69,2007,EA
Short,Spider-Man 3,1,True,True,Action,True,9.67,63,2007,Activision
